0.940744X ;-9.75573X ;1.00001x ;2.99999x ;8,27702e-11; x ;1x ;132x ;1x ;3x ;3,72184e-12; x ;1x ;43x ;1x ;2.99998x ;1,92898e-09; x ;1x ;262x ;262x 
-3.25108X ;3.70161X ;0.999994x ;3.00001x ;8,39122e-11; x ;1x ;123x ;0.999998x ;3x ;5,00559e-12; x ;1x ;40x ;0.999981x ;3x ;1,39933e-09; x ;1x ;241x ;241x 
-5.60585X ;7.0116X ;0.999993x ;3.00001x ;8,82221e-11; x ;1x ;130x ;0.999999x ;3x ;3,92384e-12; x ;1x ;42x ;0.999983x ;3.00001x ;5,68882e-10; x ;1x ;252x ;252x 
5.75231X ;8.2594X ;0.999993x ;3.00001x ;9,07058e-11; x ;1x ;101x ;0.999999x ;3x ;3,57274e-12; x ;1x ;35x ;1.00001x ;3.00001x ;3,28213e-09; x ;1x ;251x ;251x 
4.53116X ;-8.98401X ;1.00001x ;2.99999x ;8,10943e-11; x ;1x ;134x ;1x ;3x ;4,6897e-12; x ;1x ;43x ;1.00001x ;2.99998x ;1,04e-09; x ;1x ;262x ;262x 
6.10637X ;-7.66649X ;1.00001x ;2.99999x ;8,38105e-11; x ;1x ;134x ;1x ;3x ;4,41853e-12; x ;1x ;43x ;1.00001x ;2.99998x ;6,87179e-10; x ;1x ;261x ;261x 
-7.5167X ;-0.998528X ;0.999993x ;3.00001x ;8,6215e-11; x ;1x ;122x ;0.999999x ;3x ;2,68222e-12; x ;1x ;41x ;0.999982x ;2.99999x ;3,11439e-09; x ;1x ;256x ;256x 
-6.78332X ;7.99238X ;0.999994x ;3.00001x ;8,38063e-11; x ;1x ;132x ;0.999999x ;3x ;2,59565e-12; x ;1x ;43x ;0.999984x ;3.00001x ;5,08119e-10; x ;1x ;256x ;256x 
-0.0363169X ;2.48622X ;0.999993x ;3.00001x ;9,6319e-11; x ;1x ;101x ;0.999999x ;3x ;3,49669e-12; x ;1x ;35x ;0.999982x ;2.99999x ;3,19949e-09; x ;1x ;215x ;215x 
1.3453X ;-5.58757X ;1.00001x ;2.99999x ;9,51807e-11; x ;1x ;128x ;1x ;3x ;3,74727e-12; x ;1x ;42x ;1x ;2.99998x ;1,8481e-09; x ;1x ;254x ;254x 
9.32791X ;-1.18833X ;-nan(ind)x ;-nan(ind)x ;-nan(ind); x ;1x ;10001x ;nanx ;nanx ;nan; x ;1x ;10001x ;1.00001x ;3x ;1,22684e-10; x ;1x ;110x ;110x 
